:START_ID,role,:END_ID,:TYPE
danmcmullan,Avionics Technicians,onet49209100soc,EMPLOYED_AS
danmcmullan,Business Intelligence Analysts,onet15205101soc,EMPLOYED_AS
danmcmullan,Compliance Officers,onet13104100soc,EMPLOYED_AS
danmcmullan,Computer Systems Analysts,onet15121100soc,EMPLOYED_AS
danmcmullan,Instructional Coordinators,onet25903100soc,EMPLOYED_AS
danmcmullan,Management Analysts,onet13111100soc,EMPLOYED_AS
danmcmullan,Procurement Clerks,onet43306100soc,EMPLOYED_AS
danmcmullan,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",onet13102300soc,EMPLOYED_AS
danmcmullan,Purchasing Managers,onet11306100soc,EMPLOYED_AS
danmcmullan,Regulatory Affairs Specialists,onet13104107soc,EMPLOYED_AS
danmcmullan,Software Quality Assurance Analysts and Testers,onet15125300soc,EMPLOYED_AS
danmcmullan,"Teachers and Instructors, All Other",onet25309900soc,EMPLOYED_AS
danmcmullan,Avionics Technicians,OM01121,ASSIGNED_TO
danmcmullan,Avionics Technicians,OM01224,ASSIGNED_TO
danmcmullan,Avionics Technicians,OM01533,ASSIGNED_TO
danmcmullan,Avionics Technicians,ON09995,ASSIGNED_TO
